Box ID	Account ID	Promotion ID
4792681	1756284	385
4792690	1756284	385
4792893	1762304	540
4793317	1764278	385
4793477	1767294	385
4793721	1772908	385
4793722	1785605	541
4793728	1784841	552
4793739	1791474	50
4793795	1790053	554
4793845	1784740	555
4793868	1789271	540
4793985	1793303	385
4794001	1797074	385
4794160	1787529	385
4794279	1761527	514
4794285	1786092	555
4794290	1795670	61
4794294	1801515	385
4794312	1801545	385
4794384	1803325	61
4794450	1807374	385
4794469	1805335	554
4794546	1804133	554
4794574	1810064	61
4794654	1804000	50
4794662	1806633	540
4794666	1799669	554
4794706	1807053	385
4794737	1801319	61
4794772	1807311	554
4794874	1812635	61
4794900	1812453	541
4794906	1782547	385
4795089	1788972	554
4795151	1812478	50
4795172	1806422	549
4795176	1816901	554
4795185	1792707	61
4795226	1793857	61
4795302	1816139	385
4795350	1817059	50
4795359	1817468	385
4795401	1819861	385
4795427	1797377	540
4795546	1820070	385
4795640	1826555	574
4795641	1831523	574
4795735	1819156	574
4795832	1834793	549
4795856	1820422	50
4795926	1826599	385
4795929	1823690	385
4795943	1826678	385
4796060	1830139	61
4796178	1833479	574
4796225	1832290	385
4796230	1837101	385
4796257	1824623	540
4796371	1831652	514
4796383	1854564	385
4796413	1854774	574
4796439	1834042	574
4796615	1848731	385
4796737	1859635	573
4796792	1872464	61
4796970	1858971	50
4796980	1854246	385
4797012	1852958	573
4797016	1851982	554
4797024	1844616	385
4797077	1859299	573
4797099	1853728	555
4797113	1838767	385
4797136	1884674	385
4797159	1861669	385
4797185	1854598	61
4797191	1869111	573
4797193	1866816	573
4797318	1847827	385
4797324	1861228	61
4797347	1871010	554
4797389	1874079	574
4797446	1867168	573
4797450	1849477	61
4797523	1881079	574
4797638	1874562	566
4797643	1852767	540
4797691	1853397	574
4797763	1887410	385
4797802	1889760	574
4797823	1859187	573
4797895	1862277	385
4798061	1890592	385
4798112	1849367	540
4798122	1873797	385
4798221	1856437	385
4798268	1870903	574
4798468	1807900	385
4798476	1807900	385
4798478	1885637	385
4798479	1807900	385
4798483	1807900	385
4798508	1887017	385
4800995	1879467	385
4801705	1795409	61
4802150	1891231	566
4803354	1807307	541
4803670	1771288	385
4804150	1847925	385
4807183	1843306	573
4814677	1768945	61
4818330	1818821	541
4819993	1798844	61
4822593	1875360	573
4827431	1827659	385
4830480	1761857	514
4833667	1844055	385
4833702	1826607	574